source,prediction_id,family,predicate,compatibility_monotone,compatibility_endpoint_change
vlsat,vlsat_closed_set:full_official_validation:0cac7676-8d6f-2d13-8f3a-d7bf7f03e721:1:15:28:close by,proximity,close by,True,-0.5867441165583153
open3dsg,open3dsg_ov:full_official_validation:bf9a3d9e-45a5-2e80-83c6-4e427c5586a2_2:9:8:close by,proximity,close by,True,-0.3287971335652651
vlsat,vlsat_closed_set:full_official_validation:9766cbf7-6321-2e2f-81e1-2b46533c64dd:3:5:33:close by,proximity,close by,True,-0.5232099930121384
vlsat,vlsat_closed_set:full_official_validation:bf9a3ddd-45a5-2e80-80bc-647365c7ca08:1:22:6:close by,proximity,close by,True,-0.7536259403769395
open3dsg,open3dsg_ov:full_official_validation:e61b0e04-bada-2f31-82d6-72831a602ba7_6:28:39:close by,proximity,close by,True,-0.023939777170350934
open3dsg,open3dsg_ov:full_official_validation:7747a4ec-9431-24e8-848f-897279a1e9fe_5:53:54:close by,proximity,close by,True,-0.3274220237442451
vlsat,vlsat_closed_set:full_official_validation:0cac75dc-8d6f-2d13-8d08-9c497bd6acdc:3:1:7:close by,proximity,close by,True,-0.2577347967107192
vlsat,vlsat_closed_set:full_official_validation:7747a4ec-9431-24e8-848f-897279a1e9fe:2:33:24:close by,proximity,close by,True,-0.3544779600821879
sgfn,sgfn_official_full_l160:official_test:4a9a43d4-7736-2874-87a6-0c3089281af8:7:4:26:close by,proximity,close by,True,-0.5436682611513116
vlsat,vlsat_closed_set:full_official_validation:5341b7a5-8a66-2cdd-8751-70b98263cb8d:1:25:13:close by,proximity,close by,True,-0.5240413901429973
vlsat,vlsat_closed_set:full_official_validation:0cac7534-8d6f-2d13-8de7-8a915ed90050:2:41:36:close by,proximity,close by,True,-0.4013767946409964
sgfn,sgfn_official_full_l160:official_test:10b1792a-3938-2467-8b4e-a93da27a0985:1:12:6:close by,proximity,close by,True,-0.6331796313256142
open3dsg,open3dsg_ov:full_official_validation:6bde6081-9162-246f-8c4e-ffaf709d17b1_1:1:8:close by,proximity,close by,True,-0.7840627001137744
sgfn,sgfn_official_full_l160:official_test:1d234022-e280-2b1a-8cec-e9787bb0d7b2:1:14:22:close by,proximity,close by,True,-0.4006342370131778
open3dsg,open3dsg_ov:full_official_validation:ab835fae-54c6-29a1-995e-b06cfc555786_4:19:17:close by,proximity,close by,True,-0.2584093547419716
vlsat,vlsat_closed_set:full_official_validation:c2d9933f-1947-2fbf-807f-c44bc1aed269:2:4:6:close by,proximity,close by,True,-0.5650397523606491
vlsat,vlsat_closed_set:full_official_validation:b05fdd8a-fca0-2d4f-8ac5-f6ae697787f5:2:201:31:close by,proximity,close by,True,-0.4998925475488733
sgfn,sgfn_official_full_l160:official_test:787ed58c-9d98-2c97-83b9-b48a609ace15:3:7:16:close by,proximity,close by,True,-0.2647293021864514
open3dsg,open3dsg_ov:full_official_validation:0cac7582-8d6f-2d13-8d4b-e4041cb166c4_2:13:10:close by,proximity,close by,True,-0.033292764924740245
vlsat,vlsat_closed_set:full_official_validation:4138585b-a238-2435-810b-9728fc989b2f:1:7:6:close by,proximity,close by,True,-0.2935567640461194
open3dsg,open3dsg_ov:full_official_validation:137a8158-1db5-2cc0-8003-31c12610471e_1:2:1:close by,proximity,close by,True,-0.48866811262339876
vlsat,vlsat_closed_set:full_official_validation:4a9a43d4-7736-2874-87a6-0c3089281af8:4:58:24:close by,proximity,close by,True,-0.1057052968405976
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:1:76:17:close by,proximity,close by,True,-0.38167073874026325
open3dsg,open3dsg_ov:full_official_validation:43b8cadf-6678-2e38-9920-064144c99406_2:3:16:close by,proximity,close by,True,-0.5237175264998561
sgfn,sgfn_official_full_l160:official_test:1d234022-e280-2b1a-8cec-e9787bb0d7b2:1:22:13:close by,proximity,close by,True,-0.5013867775809749
vlsat,vlsat_closed_set:full_official_validation:ddc73797-765b-241a-9e2c-097c5989baf6:5:43:28:close by,proximity,close by,True,-0.6399053552534432
sgfn,sgfn_official_full_l160:official_test:5630cfcf-12bf-2860-8784-83d28a611a83:2:8:22:close by,proximity,close by,True,-0.5944434925892337
open3dsg,open3dsg_ov:full_official_validation:d7dc987e-a34a-2794-85c8-f75389b27532_1:2:4:close by,proximity,close by,True,-0.42846643725980693
open3dsg,open3dsg_ov:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a_6:36:75:close by,proximity,close by,True,-0.6215868058679308
sgfn,sgfn_official_full_l160:official_test:1d233fe6-e280-2b1a-8caf-eb0d13a59ad6:2:18:11:close by,proximity,close by,True,-0.22866104494023445
open3dsg,open3dsg_ov:full_official_validation:6bde607d-9162-246f-8f84-98cf7ac2374c_1:7:1:close by,proximity,close by,True,-0.5583890942666485
open3dsg,open3dsg_ov:full_official_validation:10b17957-3938-2467-88a5-9e9254930dad_2:20:13:close by,proximity,close by,True,-0.35821263306865525
vlsat,vlsat_closed_set:full_official_validation:fcf66d7b-622d-291c-86b8-7db96aebcee3:2:5:17:close by,proximity,close by,True,-0.17429623298382357
open3dsg,open3dsg_ov:full_official_validation:c7895f7c-339c-2d13-819f-3bb0b26c91f6_2:24:20:close by,proximity,close by,True,-0.3899433040626395
open3dsg,open3dsg_ov:full_official_validation:20c993b7-698f-29c5-847d-c8cb8a685f5a_2:12:2:close by,proximity,close by,True,-0.14148539380852387
open3dsg,open3dsg_ov:full_official_validation:c7895f7c-339c-2d13-819f-3bb0b26c91f6_2:23:9:close by,proximity,close by,True,-0.016822870974420544
vlsat,vlsat_closed_set:full_official_validation:8e0f1c28-9e28-2339-8584-ff06ff93c341:1:6:2:close by,proximity,close by,True,-0.5999338315491409
vlsat,vlsat_closed_set:full_official_validation:bcb0fe06-4f39-2c70-9c24-a8dd7496c2f8:1:7:38:close by,proximity,close by,True,-0.7180204631227939
sgfn,sgfn_official_full_l160:official_test:4731976c-f9f7-2a1a-95cc-31c4d1751d0b:3:7:39:close by,proximity,close by,True,-0.5748486816089429
vlsat,vlsat_closed_set:full_official_validation:4fbad331-465b-2a5d-8488-852fcda9513c:1:26:28:close by,proximity,close by,True,-0.2120919366061058
vlsat,vlsat_closed_set:full_official_validation:7747a510-9431-24e8-8705-907ee78be2a2:4:18:56:close by,proximity,close by,True,-0.5269910271091451
sgfn,sgfn_official_full_l160:official_test:c7895f07-339c-2d13-8176-7418b6e8d7ce:6:22:23:close by,proximity,close by,True,-0.4637034999902125
open3dsg,open3dsg_ov:full_official_validation:5630cfd1-12bf-2860-86b2-e7a96bc32c19_2:2:24:close by,proximity,close by,True,-0.6683113122040154
vlsat,vlsat_closed_set:full_official_validation:4fbad32f-465b-2a5d-8408-146ab1d72808:1:10:28:close by,proximity,close by,True,-0.6086218202441317
open3dsg,open3dsg_ov:full_official_validation:422885c5-192d-25fc-85e6-12a3d65c8e7b_1:2:10:close by,proximity,close by,True,-0.17783689894687582
sgfn,sgfn_official_full_l160:official_test:9766cbe5-6321-2e2f-8040-4e5b7a5d8ba1:3:25:46:close by,proximity,close by,True,-0.5430386417148927
vlsat,vlsat_closed_set:full_official_validation:c7895f07-339c-2d13-8176-7418b6e8d7ce:1:9:6:close by,proximity,close by,True,-0.7308552784139453
sgfn,sgfn_official_full_l160:official_test:38770ca5-86d7-27b8-871c-57fdbfe87905:3:28:79:close by,proximity,close by,True,-0.1767037851400281
open3dsg,open3dsg_ov:full_official_validation:4731976c-f9f7-2a1a-95cc-31c4d1751d0b_3:48:39:close by,proximity,close by,True,-0.0006888306054860787
open3dsg,open3dsg_ov:full_official_validation:7272e17c-a01b-20f6-8b2f-e659331ae41a_3:4:6:close by,proximity,close by,True,-0.7279016409819298
open3dsg,open3dsg_ov:full_official_validation:d7d40d50-7a5d-2b36-9446-7d636174329f_1:2:17:close by,proximity,close by,True,-0.35727787803969435
open3dsg,open3dsg_ov:full_official_validation:b05fdd96-fca0-2d4f-88c3-d9dfda85c00e_1:1:4:close by,proximity,close by,True,-0.4955876589615029
vlsat,vlsat_closed_set:full_official_validation:bf9a3dd9-45a5-2e80-817c-f918e193231b:3:2:16:close by,proximity,close by,True,-0.5979549554133209
sgfn,sgfn_official_full_l160:official_test:d7dc987e-a34a-2794-85c8-f75389b27532:1:23:7:close by,proximity,close by,True,-0.4336054288257084
open3dsg,open3dsg_ov:full_official_validation:10b17944-3938-2467-8bac-5552375e4467_3:23:2:close by,proximity,close by,True,-0.32819773978641875
open3dsg,open3dsg_ov:full_official_validation:9766cbe5-6321-2e2f-8040-4e5b7a5d8ba1_5:26:1:close by,proximity,close by,True,-0.447417773797622
sgfn,sgfn_official_full_l160:official_test:f2c76fe9-2239-29d0-87ec-f2c7ced812c1:3:27:21:close by,proximity,close by,True,-0.005943151827667885
open3dsg,open3dsg_ov:full_official_validation:41385849-a238-2435-81d0-ceb0eba4541a_4:20:76:close by,proximity,close by,True,-0.23453639043215768
open3dsg,open3dsg_ov:full_official_validation:7747a4ec-9431-24e8-848f-897279a1e9fe_5:5:6:close by,proximity,close by,True,-0.5100781167059288
vlsat,vlsat_closed_set:full_official_validation:137a8158-1db5-2cc0-8003-31c12610471e:1:3:6:close by,proximity,close by,True,-0.7309232771201729
sgfn,sgfn_official_full_l160:official_test:c2d99349-1947-2fbf-837e-a0bd5e027c52:3:3:5:close by,proximity,close by,True,-0.3843584872914425
open3dsg,open3dsg_ov:full_official_validation:7747a50c-9431-24e8-877d-e60c3a341cc2_2:19:63:close by,proximity,close by,True,-0.051239497495382445
open3dsg,open3dsg_ov:full_official_validation:e61b0e02-bada-2f31-82d0-80fc5c70bd6f_2:1:68:close by,proximity,close by,True,-0.7825472421592867
sgfn,sgfn_official_full_l160:official_test:10b17957-3938-2467-88a5-9e9254930dad:6:7:5:close by,proximity,close by,True,-0.5931321601065945
vlsat,vlsat_closed_set:full_official_validation:a0905fdb-66f7-2272-9fc5-7c0008d5e87b:3:88:85:close by,proximity,close by,True,-0.2573498122905248
sgfn,sgfn_official_full_l160:official_test:742e8f15-be0a-294e-9ebb-6c72dbcb9662:3:9:15:close by,proximity,close by,True,-0.37112734078824516
vlsat,vlsat_closed_set:full_official_validation:f2c76fe5-2239-29d0-8593-1a2555125595:2:31:33:close by,proximity,close by,True,-0.5310079033833831
sgfn,sgfn_official_full_l160:official_test:10b1792a-3938-2467-8b4e-a93da27a0985:5:37:36:close by,proximity,close by,True,-0.255073714925255
open3dsg,open3dsg_ov:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801_7:23:67:close by,proximity,close by,True,-0.45736210739245076
open3dsg,open3dsg_ov:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801_2:4:12:close by,proximity,close by,True,-0.4897266172616481
vlsat,vlsat_closed_set:full_official_validation:ddc73797-765b-241a-9e2c-097c5989baf6:2:8:11:close by,proximity,close by,True,-0.47300276467996605
open3dsg,open3dsg_ov:full_official_validation:ba6fdaac-a4c1-2dca-8380-f16765679fd7_2:47:33:close by,proximity,close by,True,-0.017230476635820287
sgfn,sgfn_official_full_l160:official_test:41385849-a238-2435-81d0-ceb0eba4541a:2:40:152:close by,proximity,close by,True,-0.34206783361957205
sgfn,sgfn_official_full_l160:official_test:4fbad331-465b-2a5d-8488-852fcda9513c:1:29:27:close by,proximity,close by,True,-0.35837104006330683
vlsat,vlsat_closed_set:full_official_validation:4d3d82ae-8cf4-2e04-80de-20f96c814d9c:2:18:2:close by,proximity,close by,True,-0.4595871593841683
vlsat,vlsat_closed_set:full_official_validation:0cac75dc-8d6f-2d13-8d08-9c497bd6acdc:3:7:24:close by,proximity,close by,True,-0.18457767323694274
sgfn,sgfn_official_full_l160:official_test:20c993b7-698f-29c5-847d-c8cb8a685f5a:2:8:1:close by,proximity,close by,True,-0.7078124537989967
vlsat,vlsat_closed_set:full_official_validation:0cac7584-8d6f-2d13-8df8-c05e4307b418:1:50:20:close by,proximity,close by,True,-0.21190482748841885
open3dsg,open3dsg_ov:full_official_validation:5341b79f-8a66-2cdd-84d5-6dba6525dd75_1:2:25:close by,proximity,close by,True,-0.3645964576185705
vlsat,vlsat_closed_set:full_official_validation:4d3d82b0-8cf4-2e04-80a8-c955ea964c2f:3:9:20:close by,proximity,close by,True,-0.39103689505545625
sgfn,sgfn_official_full_l160:official_test:a0905fd9-66f7-2272-9dfb-0483fdcc54c7:1:47:46:close by,proximity,close by,True,-0.5671686692641775
sgfn,sgfn_official_full_l160:official_test:8eabc45f-5af7-2f32-8528-640861d2a135:6:51:50:close by,proximity,close by,True,-0.12517858579026642
open3dsg,open3dsg_ov:full_official_validation:5341b7b3-8a66-2cdd-856d-9d70e194568b_3:16:8:close by,proximity,close by,True,-0.24363188674310665
open3dsg,open3dsg_ov:full_official_validation:6bde6083-9162-246f-8c9c-e170212059b2_1:1:15:close by,proximity,close by,True,-0.5064759826908448
open3dsg,open3dsg_ov:full_official_validation:20c993b7-698f-29c5-847d-c8cb8a685f5a_1:1:5:close by,proximity,close by,True,-0.6981282447226806
vlsat,vlsat_closed_set:full_official_validation:6bde607b-9162-246f-8e65-76e3ef265504:1:15:13:close by,proximity,close by,True,-0.43106239274059155
vlsat,vlsat_closed_set:full_official_validation:6bde607d-9162-246f-8f84-98cf7ac2374c:1:4:14:close by,proximity,close by,True,-0.030629651617127968
sgfn,sgfn_official_full_l160:official_test:d7d40d4c-7a5d-2b36-95c1-5f6c9147caf0:2:15:14:close by,proximity,close by,True,-0.0728520846688755
vlsat,vlsat_closed_set:full_official_validation:c7895f78-339c-2d13-82bb-cc990cbbc90f:3:26:27:close by,proximity,close by,True,-0.42596926560865467
open3dsg,open3dsg_ov:full_official_validation:75c25975-9ca2-2844-9769-84677f46d4cf_3:2:24:close by,proximity,close by,True,-0.5379654645709548
vlsat,vlsat_closed_set:full_official_validation:0988ea72-eb32-2e61-8344-99e2283c2728:3:15:17:close by,proximity,close by,True,-0.25669904416106715
sgfn,sgfn_official_full_l160:official_test:6e67e550-1209-2cd0-8294-7cc2564cf82c:1:8:43:close by,proximity,close by,True,-0.3057445074742293
sgfn,sgfn_official_full_l160:official_test:bf9a3d9e-45a5-2e80-83c6-4e427c5586a2:1:19:22:close by,proximity,close by,True,-0.45577975488182515
open3dsg,open3dsg_ov:full_official_validation:20c993bf-698f-29c5-8549-a69fd169c1e1_1:81:3:close by,proximity,close by,True,-0.5904564024373771
open3dsg,open3dsg_ov:full_official_validation:38770ca5-86d7-27b8-871c-57fdbfe87905_6:53:40:close by,proximity,close by,True,-0.04543073389815968
vlsat,vlsat_closed_set:full_official_validation:9af05c68-5794-2e19-8c5a-979f448da545:3:9:65:close by,proximity,close by,True,-0.3193888358561968
sgfn,sgfn_official_full_l160:official_test:8eabc445-5af7-2f32-85ae-90deb8eb1b0b:3:16:12:close by,proximity,close by,True,-0.3514558986939924
open3dsg,open3dsg_ov:full_official_validation:ddc73799-765b-241a-9c30-f75dcb7627d4_1:35:34:close by,proximity,close by,True,-0.2279532512442648
vlsat,vlsat_closed_set:full_official_validation:bf9a3da2-45a5-2e80-8219-1f0a216399fe:2:28:16:close by,proximity,close by,True,-0.5582529827891257
vlsat,vlsat_closed_set:full_official_validation:7747a510-9431-24e8-8705-907ee78be2a2:2:10:1:close by,proximity,close by,True,-0.47410493412953664
vlsat,vlsat_closed_set:full_official_validation:bf9a3de9-45a5-2e80-8022-277108d67404:2:29:17:close by,proximity,close by,True,-0.4528306492780297
open3dsg,open3dsg_ov:full_official_validation:e61b0e02-bada-2f31-82d0-80fc5c70bd6f_1:1:22:close by,proximity,close by,True,-0.750653581758891
sgfn,sgfn_official_full_l160:official_test:4138582f-a238-2435-8332-6902542c2823:3:15:22:close by,proximity,close by,True,-0.7648856317982959
open3dsg,open3dsg_ov:full_official_validation:5630cfcf-12bf-2860-8784-83d28a611a83_2:15:12:close by,proximity,close by,True,-5.966195968410673e-05
open3dsg,open3dsg_ov:full_official_validation:4fbad31e-465b-2a5d-84b7-c0ddea978db4_1:10:36:close by,proximity,close by,True,-0.717904196561777
open3dsg,open3dsg_ov:full_official_validation:9766cbe5-6321-2e2f-8040-4e5b7a5d8ba1_2:9:43:close by,proximity,close by,True,-0.22180086087051754
vlsat,vlsat_closed_set:full_official_validation:bf9a3de9-45a5-2e80-8022-277108d67404:3:9:10:close by,proximity,close by,True,-0.1726811677512553
open3dsg,open3dsg_ov:full_official_validation:7747a4ec-9431-24e8-848f-897279a1e9fe_4:11:62:close by,proximity,close by,True,-0.21218721456811107
open3dsg,open3dsg_ov:full_official_validation:1d233fe6-e280-2b1a-8caf-eb0d13a59ad6_2:22:16:close by,proximity,close by,True,-0.4763905142191169
open3dsg,open3dsg_ov:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a_9:21:1:close by,proximity,close by,True,-0.4165241781086545
vlsat,vlsat_closed_set:full_official_validation:38770ca5-86d7-27b8-871c-57fdbfe87905:4:26:18:close by,proximity,close by,True,-0.6481536882706442
sgfn,sgfn_official_full_l160:official_test:0cac75dc-8d6f-2d13-8d08-9c497bd6acdc:2:50:47:close by,proximity,close by,True,-0.10294429989578022
vlsat,vlsat_closed_set:full_official_validation:6bde607d-9162-246f-8f84-98cf7ac2374c:1:4:3:close by,proximity,close by,True,-0.6592298565665278
vlsat,vlsat_closed_set:full_official_validation:4fbad32f-465b-2a5d-8408-146ab1d72808:4:38:17:close by,proximity,close by,True,-0.46506425272317276
sgfn,sgfn_official_full_l160:official_test:43b8cadf-6678-2e38-9920-064144c99406:2:11:10:close by,proximity,close by,True,-0.4453425240793701
vlsat,vlsat_closed_set:full_official_validation:0cac7676-8d6f-2d13-8f3a-d7bf7f03e721:2:26:3:close by,proximity,close by,True,-0.6401339326776975
vlsat,vlsat_closed_set:full_official_validation:0cac7584-8d6f-2d13-8df8-c05e4307b418:1:19:2:close by,proximity,close by,True,-0.17736652189238986
open3dsg,open3dsg_ov:full_official_validation:c2d99349-1947-2fbf-837e-a0bd5e027c52_3:2:5:close by,proximity,close by,True,-0.47519053645011733
vlsat,vlsat_closed_set:full_official_validation:7747a510-9431-24e8-8705-907ee78be2a2:6:24:34:close by,proximity,close by,True,-0.26485603451981743
vlsat,vlsat_closed_set:full_official_validation:c7895f27-339c-2d13-836b-c12dca280261:3:13:15:close by,proximity,close by,True,-0.21504466979906356
sgfn,sgfn_official_full_l160:official_test:6bde60cb-9162-246f-8cf5-d04f7426e56f:1:9:3:close by,proximity,close by,True,-0.646456845115698
open3dsg,open3dsg_ov:full_official_validation:c7895f63-339c-2d13-81a3-0b07b1eb23b4_1:1:2:close by,proximity,close by,True,-0.42760040522723497
open3dsg,open3dsg_ov:full_official_validation:1d234026-e280-2b1a-8fe1-713e28269f4d_1:8:2:close by,proximity,close by,True,-0.5470970957434054
open3dsg,open3dsg_ov:full_official_validation:0cac761b-8d6f-2d13-8f16-23a7d73c54fe_2:5:1:close by,proximity,close by,True,-0.2999543629036262
open3dsg,open3dsg_ov:full_official_validation:5341b79f-8a66-2cdd-84d5-6dba6525dd75_1:14:5:close by,proximity,close by,True,-0.7250264828931039
sgfn,sgfn_official_full_l160:official_test:5630cfd1-12bf-2860-86b2-e7a96bc32c19:2:24:12:close by,proximity,close by,True,-0.02613700698337329
open3dsg,open3dsg_ov:full_official_validation:bf9a3ddf-45a5-2e80-8007-8e9e7f323e52_1:23:8:close by,proximity,close by,True,-0.21578061373185453
vlsat,vlsat_closed_set:full_official_validation:8eabc445-5af7-2f32-85ae-90deb8eb1b0b:3:21:11:close by,proximity,close by,True,-0.4944732098741822
vlsat,vlsat_closed_set:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801:8:62:8:close by,proximity,close by,True,-0.7384742205077137
vlsat,vlsat_closed_set:full_official_validation:0988ea72-eb32-2e61-8344-99e2283c2728:3:18:33:close by,proximity,close by,True,-0.027821436502703176
open3dsg,open3dsg_ov:full_official_validation:4a9a43d4-7736-2874-87a6-0c3089281af8_1:7:60:close by,proximity,close by,True,-0.2464614074117748
vlsat,vlsat_closed_set:full_official_validation:4d3d82ae-8cf4-2e04-80de-20f96c814d9c:1:12:11:close by,proximity,close by,True,-0.6709568966412126
sgfn,sgfn_official_full_l160:official_test:e61b0e04-bada-2f31-82d6-72831a602ba7:4:25:24:close by,proximity,close by,True,-0.4189835549332681
vlsat,vlsat_closed_set:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801:7:66:67:close by,proximity,close by,True,-0.2502415020604606
open3dsg,open3dsg_ov:full_official_validation:ba6fdaac-a4c1-2dca-8380-f16765679fd7_5:4:15:close by,proximity,close by,True,-0.6488347885679546
open3dsg,open3dsg_ov:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf_4:1:65:close by,proximity,close by,True,-0.27503565850205774
vlsat,vlsat_closed_set:full_official_validation:bcb0fe04-4f39-2c70-9f03-d0eec592de24:2:30:41:close by,proximity,close by,True,-0.5692751833705441
sgfn,sgfn_official_full_l160:official_test:4d3d82b0-8cf4-2e04-80a8-c955ea964c2f:1:13:12:close by,proximity,close by,True,-0.41554840375974333
sgfn,sgfn_official_full_l160:official_test:c92fb5b5-f771-2064-8570-dbe16cb33764:3:1:20:close by,proximity,close by,True,-0.38145776125668607
vlsat,vlsat_closed_set:full_official_validation:7747a50c-9431-24e8-877d-e60c3a341cc2:6:1:4:close by,proximity,close by,True,-0.22912503711900867
sgfn,sgfn_official_full_l160:official_test:c2d99345-1947-2fbf-818d-90ea82acef29:1:22:13:close by,proximity,close by,True,-0.005432736228833933
open3dsg,open3dsg_ov:full_official_validation:20c993b3-698f-29c5-859c-dca8ddecf220_1:5:3:close by,proximity,close by,True,-0.37141907408042246
open3dsg,open3dsg_ov:full_official_validation:f2c76feb-2239-29d0-8418-72b6051fc144_1:1:34:close by,proximity,close by,True,-0.24182131043388533
open3dsg,open3dsg_ov:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf_6:1:88:close by,proximity,close by,True,-0.38674793004259733
open3dsg,open3dsg_ov:full_official_validation:0cac75ea-8d6f-2d13-8e50-c5faf0159e32_1:10:2:close by,proximity,close by,True,-0.41053373331170706
sgfn,sgfn_official_full_l160:official_test:1d233fe6-e280-2b1a-8caf-eb0d13a59ad6:2:3:22:close by,proximity,close by,True,-0.3702154113686511
open3dsg,open3dsg_ov:full_official_validation:5630cfd1-12bf-2860-86b2-e7a96bc32c19_2:13:19:close by,proximity,close by,True,-0.6480226776375893
sgfn,sgfn_official_full_l160:official_test:10b17957-3938-2467-88a5-9e9254930dad:8:25:103:close by,proximity,close by,True,-0.03221320814804196
open3dsg,open3dsg_ov:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a_4:1:81:close by,proximity,close by,True,-0.2641826827891592
sgfn,sgfn_official_full_l160:official_test:41385849-a238-2435-81d0-ceb0eba4541a:5:70:81:close by,proximity,close by,True,-0.40348628745799964
vlsat,vlsat_closed_set:full_official_validation:c92fb5b7-f771-2064-87a9-31c819832405:4:27:23:close by,proximity,close by,True,-0.07306231211052475
sgfn,sgfn_official_full_l160:official_test:ab835fae-54c6-29a1-995e-b06cfc555786:1:32:23:close by,proximity,close by,True,-0.012158891636306327
vlsat,vlsat_closed_set:full_official_validation:6e67e550-1209-2cd0-8294-7cc2564cf82c:1:12:45:close by,proximity,close by,True,-0.2980630289053223
sgfn,sgfn_official_full_l160:official_test:742e8f19-be0a-294e-9eb6-50dc474b110e:2:33:28:close by,proximity,close by,True,-0.37297508507941024
open3dsg,open3dsg_ov:full_official_validation:ab835faa-54c6-29a1-9b55-1a5217fcba19_3:17:15:close by,proximity,close by,True,-0.4848117194894068
vlsat,vlsat_closed_set:full_official_validation:ddc73797-765b-241a-9e2c-097c5989baf6:3:102:62:close by,proximity,close by,True,-0.3073447306140713
vlsat,vlsat_closed_set:full_official_validation:0988ea72-eb32-2e61-8344-99e2283c2728:1:24:47:close by,proximity,close by,True,-0.23890349574660252
open3dsg,open3dsg_ov:full_official_validation:5630cfd1-12bf-2860-86b2-e7a96bc32c19_3:5:22:close by,proximity,close by,True,-0.6125316796463112
sgfn,sgfn_official_full_l160:official_test:c7895f7c-339c-2d13-819f-3bb0b26c91f6:1:37:38:close by,proximity,close by,True,-0.36263282266268365
open3dsg,open3dsg_ov:full_official_validation:ba6fdaaa-a4c1-2dca-8163-a52b18bf6b64_5:17:23:close by,proximity,close by,True,-0.19274898250035238
sgfn,sgfn_official_full_l160:official_test:321c867e-a5a8-2a84-851a-818df115be05:1:2:16:close by,proximity,close by,True,-0.8470199858163018
vlsat,vlsat_closed_set:full_official_validation:0988ea72-eb32-2e61-8344-99e2283c2728:2:1:11:close by,proximity,close by,True,-0.49910908013813293
vlsat,vlsat_closed_set:full_official_validation:d04eb40f-1d53-27ea-8a41-47892bde7017:2:30:37:close by,proximity,close by,True,-0.14541105922765352
vlsat,vlsat_closed_set:full_official_validation:c7895f7c-339c-2d13-819f-3bb0b26c91f6:4:7:4:close by,proximity,close by,True,-0.7048841474510412
open3dsg,open3dsg_ov:full_official_validation:bf9a3ddd-45a5-2e80-80bc-647365c7ca08_1:6:22:close by,proximity,close by,True,-0.7536259403769395
vlsat,vlsat_closed_set:full_official_validation:4138585b-a238-2435-810b-9728fc989b2f:1:7:21:close by,proximity,close by,True,-0.2791476501892911
vlsat,vlsat_closed_set:full_official_validation:0cac761b-8d6f-2d13-8f16-23a7d73c54fe:1:8:9:close by,proximity,close by,True,-0.483435144515277
sgfn,sgfn_official_full_l160:official_test:4a9a43d2-7736-2874-874d-d0fad0570e19:6:21:22:close by,proximity,close by,True,-0.6264825378819298
sgfn,sgfn_official_full_l160:official_test:ddc73799-765b-241a-9c30-f75dcb7627d4:1:401:34:close by,proximity,close by,True,-0.46387421548614727
vlsat,vlsat_closed_set:full_official_validation:7747a4ec-9431-24e8-848f-897279a1e9fe:7:8:36:close by,proximity,close by,True,-0.49132015915683136
open3dsg,open3dsg_ov:full_official_validation:4a9a43d4-7736-2874-87a6-0c3089281af8_4:13:58:close by,proximity,close by,True,-0.021682564177444474
vlsat,vlsat_closed_set:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a:1:58:27:close by,proximity,close by,True,-0.4048743962233334
vlsat,vlsat_closed_set:full_official_validation:ba6fdaaa-a4c1-2dca-8163-a52b18bf6b64:1:38:12:close by,proximity,close by,True,-0.565263888877555
open3dsg,open3dsg_ov:full_official_validation:6bde60cb-9162-246f-8cf5-d04f7426e56f_1:7:8:close by,proximity,close by,True,-0.5120263974469308
sgfn,sgfn_official_full_l160:official_test:d7d40d4e-7a5d-2b36-97e7-34324c52ac42:2:10:18:close by,proximity,close by,True,-0.14712223773519773
open3dsg,open3dsg_ov:full_official_validation:e61b0e04-bada-2f31-82d6-72831a602ba7_7:43:2:close by,proximity,close by,True,-0.5498518133283217
open3dsg,open3dsg_ov:full_official_validation:1d2f850c-d757-207c-8fba-60b90a7d4691_3:20:17:close by,proximity,close by,True,-0.33714181936938803
sgfn,sgfn_official_full_l160:official_test:c7895f7c-339c-2d13-819f-3bb0b26c91f6:2:8:10:close by,proximity,close by,True,-0.33728598055991577
sgfn,sgfn_official_full_l160:official_test:10b17940-3938-2467-8a7a-958300ba83d3:1:7:26:close by,proximity,close by,True,-0.6321598243078355
vlsat,vlsat_closed_set:full_official_validation:ba6fdaac-a4c1-2dca-8380-f16765679fd7:5:16:17:close by,proximity,close by,True,-0.5794393250519132
vlsat,vlsat_closed_set:full_official_validation:10b17957-3938-2467-88a5-9e9254930dad:7:68:23:close by,proximity,close by,True,-0.4125419195688513
open3dsg,open3dsg_ov:full_official_validation:f2c76fe9-2239-29d0-87ec-f2c7ced812c1_1:1:5:close by,proximity,close by,True,-0.8384646758345335
